,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence,billboard
2926,0.44299999999999995,https://api.spotify.com/v1/audio-analysis/14SaZBTjxlorHJQxXh01Hu,Novaspace,0.6559999999999999,222374.0,0.43200000000000005,14SaZBTjxlorHJQxXh01Hu,0.0,6.0,0.132,-9.481,0.0,0.217,97.022,4.0,https://api.spotify.com/v1/tracks/14SaZBTjxlorHJQxXh01Hu,Summer Of Love,audio_features,spotify:track:14SaZBTjxlorHJQxXh01Hu,0.0897,0
2927,0.00502,https://api.spotify.com/v1/audio-analysis/47ziswB02OgSnpxVRUUWzu,A Static Lullaby,0.289,237440.0,0.946,47ziswB02OgSnpxVRUUWzu,0.00013000000000000002,0.0,0.126,-4.462,1.0,0.0758,161.157,4.0,https://api.spotify.com/v1/tracks/47ziswB02OgSnpxVRUUWzu,God Bless You (Goddamn it),audio_features,spotify:track:47ziswB02OgSnpxVRUUWzu,0.18899999999999997,0
2928,0.00144,https://api.spotify.com/v1/audio-analysis/2y249O3RCmpEe0RGZpIORM,Adr Lavey,0.653,261733.0,0.835,2y249O3RCmpEe0RGZpIORM,1.32e-06,2.0,0.0372,-7.797000000000001,1.0,0.0439,114.85600000000001,4.0,https://api.spotify.com/v1/tracks/2y249O3RCmpEe0RGZpIORM,In The Name of the Father,audio_features,spotify:track:2y249O3RCmpEe0RGZpIORM,0.524,0
2929,0.159,https://api.spotify.com/v1/audio-analysis/69ghzc538EQSVon2Gm3wrr,Justin Bieber,0.58,229107.0,0.75,69ghzc538EQSVon2Gm3wrr,0.0,4.0,0.27399999999999997,-4.421,1.0,0.19399999999999998,86.93799999999999,4.0,https://api.spotify.com/v1/tracks/69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,audio_features,spotify:track:69ghzc538EQSVon2Gm3wrr,0.728,1
2930,0.298,https://api.spotify.com/v1/audio-analysis/5jz7alGeDXjNGMxsGlrd7Y,Dorothy Norwood,0.486,217960.0,0.755,5jz7alGeDXjNGMxsGlrd7Y,0.0,8.0,0.26,-6.303999999999999,1.0,0.0951,197.976,4.0,https://api.spotify.com/v1/tracks/5jz7alGeDXjNGMxsGlrd7Y,Packing Up,audio_features,spotify:track:5jz7alGeDXjNGMxsGlrd7Y,0.773,0
2931,0.235,https://api.spotify.com/v1/audio-analysis/5KZSRoDwhKYu2ermOEWBKo,Clp,0.8390000000000001,253760.0,0.865,5KZSRoDwhKYu2ermOEWBKo,0.0,1.0,0.106,-6.563,1.0,0.0519,117.98100000000001,4.0,https://api.spotify.com/v1/tracks/5KZSRoDwhKYu2ermOEWBKo,Superconfidential,audio_features,spotify:track:5KZSRoDwhKYu2ermOEWBKo,0.711,0
2932,0.634,https://api.spotify.com/v1/audio-analysis/3GZ5x81hKotVoDUcB2quN3,Casiotone For The Painfully Alone,0.54,108400.0,0.825,3GZ5x81hKotVoDUcB2quN3,0.941,0.0,0.262,-4.779,1.0,0.0356,131.126,4.0,https://api.spotify.com/v1/tracks/3GZ5x81hKotVoDUcB2quN3,Rice Dream Girl,audio_features,spotify:track:3GZ5x81hKotVoDUcB2quN3,0.297,0
2933,0.0444,https://api.spotify.com/v1/audio-analysis/4Gg9LtYSEIng2Fp8n3Zrwz,Johnny Cash And The Tennessee Two,0.43700000000000006,182533.0,0.868,4Gg9LtYSEIng2Fp8n3Zrwz,0.000964,7.0,0.11800000000000001,-4.6819999999999995,1.0,0.039,147.045,4.0,https://api.spotify.com/v1/tracks/4Gg9LtYSEIng2Fp8n3Zrwz,It's Just About Time,audio_features,spotify:track:4Gg9LtYSEIng2Fp8n3Zrwz,0.484,1
2934,0.0193,https://api.spotify.com/v1/audio-analysis/028VEpmfI1whCkwWPrlU68,Simply Red,0.5660000000000001,174404.0,0.445,028VEpmfI1whCkwWPrlU68,0.0,3.0,0.128,-7.796,0.0,0.0341,102.35600000000001,4.0,https://api.spotify.com/v1/tracks/028VEpmfI1whCkwWPrlU68,Maybe Someday...,audio_features,spotify:track:028VEpmfI1whCkwWPrlU68,0.563,0
2935,0.0939,https://api.spotify.com/v1/audio-analysis/6VzGAkimNeVGJEPlzaBKco,Kenny Rogers,0.502,159133.0,0.735,6VzGAkimNeVGJEPlzaBKco,0.0,4.0,0.266,-12.342,1.0,0.155,203.162,4.0,https://api.spotify.com/v1/tracks/6VzGAkimNeVGJEPlzaBKco,Reuben James,audio_features,spotify:track:6VzGAkimNeVGJEPlzaBKco,0.8909999999999999,0
2936,0.0374,https://api.spotify.com/v1/audio-analysis/717mHCBgkTNyE9G9qrt5AU,Vangelis,0.158,410507.0,0.214,717mHCBgkTNyE9G9qrt5AU,0.136,1.0,0.11800000000000001,-18.958,0.0,0.0368,133.116,4.0,https://api.spotify.com/v1/tracks/717mHCBgkTNyE9G9qrt5AU,Other Side Of Antarctica,audio_features,spotify:track:717mHCBgkTNyE9G9qrt5AU,0.039,0
2937,0.264,https://api.spotify.com/v1/audio-analysis/5NqOsPI4rA9Bl6LcCftzI2,Selena Gomez,0.647,182338.0,0.706,5NqOsPI4rA9Bl6LcCftzI2,0.0,6.0,0.114,-6.023,0.0,0.13699999999999998,153.97299999999998,4.0,https://api.spotify.com/v1/tracks/5NqOsPI4rA9Bl6LcCftzI2,Magic,audio_features,spotify:track:5NqOsPI4rA9Bl6LcCftzI2,0.5770000000000001,1
2938,0.0573,https://api.spotify.com/v1/audio-analysis/6lH4VSXcjccVL6krElUuub,Cockney Rejects,0.643,314560.0,0.871,6lH4VSXcjccVL6krElUuub,3.31e-06,11.0,0.21600000000000003,-10.779000000000002,1.0,0.048,126.899,4.0,https://api.spotify.com/v1/tracks/6lH4VSXcjccVL6krElUuub,Big Time Charlie,audio_features,spotify:track:6lH4VSXcjccVL6krElUuub,0.667,0
2939,0.00035099999999999997,https://api.spotify.com/v1/audio-analysis/5WWfqCPjern9lpwwImVNbq,FSTZ,0.467,166760.0,0.902,5WWfqCPjern9lpwwImVNbq,0.00398,8.0,0.32299999999999995,-5.2139999999999995,1.0,0.111,163.97799999999998,4.0,https://api.spotify.com/v1/tracks/5WWfqCPjern9lpwwImVNbq,Facemelt,audio_features,spotify:track:5WWfqCPjern9lpwwImVNbq,0.565,0
2940,0.895,https://api.spotify.com/v1/audio-analysis/4j6CsonAtKG5y3yFhzQIer,Crazy Horse,0.746,136867.0,0.292,4j6CsonAtKG5y3yFhzQIer,0.0,10.0,0.706,-10.423,1.0,0.0639,96.699,4.0,https://api.spotify.com/v1/tracks/4j6CsonAtKG5y3yFhzQIer,Going Home (Album Version),audio_features,spotify:track:4j6CsonAtKG5y3yFhzQIer,0.428,0
2941,0.484,https://api.spotify.com/v1/audio-analysis/2GOXRG253GichrSuiZ5j0H,The Olympics,0.7709999999999999,153467.0,0.642,2GOXRG253GichrSuiZ5j0H,1.39e-06,2.0,0.135,-6.28,1.0,0.0513,125.301,4.0,https://api.spotify.com/v1/tracks/2GOXRG253GichrSuiZ5j0H,(Baby) Hully Gully,audio_features,spotify:track:2GOXRG253GichrSuiZ5j0H,0.961,1
2942,0.512,https://api.spotify.com/v1/audio-analysis/314daYWDtEZ9kFYY76PUn3,The Johnny Otis Show,0.8809999999999999,131667.0,0.9,314daYWDtEZ9kFYY76PUn3,2.61e-05,8.0,0.23399999999999999,-8.342,0.0,0.054000000000000006,103.50200000000001,4.0,https://api.spotify.com/v1/tracks/314daYWDtEZ9kFYY76PUn3,Castin' My Spell,audio_features,spotify:track:314daYWDtEZ9kFYY76PUn3,0.929,1
2943,0.00595,https://api.spotify.com/v1/audio-analysis/1RvcrQtn7y3Jj7ZtDLQcY0,Wilbert Harrison,0.546,182093.0,0.727,1RvcrQtn7y3Jj7ZtDLQcY0,1.67e-06,8.0,0.0885,-5.419,1.0,0.0529,90.036,4.0,https://api.spotify.com/v1/tracks/1RvcrQtn7y3Jj7ZtDLQcY0,Kansas City,audio_features,spotify:track:1RvcrQtn7y3Jj7ZtDLQcY0,0.41700000000000004,1
2944,0.00527,https://api.spotify.com/v1/audio-analysis/3ZsLuJ8uU0lE6rGTkDaqEg,Charlie Haden & Chris Anderson,0.541,171440.0,0.87,3ZsLuJ8uU0lE6rGTkDaqEg,0.0,1.0,0.0867,-4.7410000000000005,1.0,0.122,179.975,4.0,https://api.spotify.com/v1/tracks/3ZsLuJ8uU0lE6rGTkDaqEg,Alone Together,audio_features,spotify:track:3ZsLuJ8uU0lE6rGTkDaqEg,0.665,0
2945,0.0797,https://api.spotify.com/v1/audio-analysis/69JVxHk5lLPAHdVulVTPi5,The Everly Brothers,0.6609999999999999,224061.0,0.758,69JVxHk5lLPAHdVulVTPi5,0.0,7.0,0.106,-5.2989999999999995,1.0,0.0864,114.098,4.0,https://api.spotify.com/v1/tracks/69JVxHk5lLPAHdVulVTPi5,Let It Be Me,audio_features,spotify:track:69JVxHk5lLPAHdVulVTPi5,0.387,1
